GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,0,0,0,0,0,1,2,3,7,57,64
3.750-3.999,0,0,0,0,0,0,0,5,5,0,16,16
3.500-3.749,0,0,0,0,0,0,0,1,1,9,66,75
3.250-3.499,0,0,0,0,0,0,3,8,11,9,41,50
3.000-3.249,0,0,0,0,0,0,0,1,1,3,24,27
2.750-2.999,0,0,0,0,0,0,0,0,0,2,6,8
2.500-2.749,0,0,0,0,0,0,0,0,0,0,1,1
2.250-2.499,0,0,0,0,0,0,0,0,0,0,0,0
2.000-2.249,0,0,0,0,0,0,0,0,0,0,0,0
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,0,0,0,0,0,0,0,0,0,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
